config,arena,player1,player2,rounds,sims_per_round,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
BattleCode__claude-opus-4-1-20250805__claude-3-7-sonnet-20250219__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,claude-3-7-sonnet-20250219,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__grok-code-fast-1__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,grok-code-fast-1,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__gemini-2.5-pro__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__glm-4.5__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,glm-4.5,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__gpt-5__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,gpt-5,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__gpt-5-mini__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__qwen-3-coder__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__claude-opus-4-1-20250805__o3__r15__s1000.yaml,BattleCode,claude-opus-4-1-20250805,o3,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__grok-code-fast-1__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,grok-code-fast-1,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__gemini-2.5-pro__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__glm-4.5__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,glm-4.5,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__gpt-5__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,gpt-5,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__gpt-5-mini__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__qwen-3-coder__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__claude-3-7-sonnet-20250219__o3__r15__s1000.yaml,BattleCode,claude-3-7-sonnet-20250219,o3,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__gemini-2.5-pro__r15__s1000.yaml,BattleCode,grok-code-fast-1,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__glm-4.5__r15__s1000.yaml,BattleCode,grok-code-fast-1,glm-4.5,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__gpt-5__r15__s1000.yaml,BattleCode,grok-code-fast-1,gpt-5,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__gpt-5-mini__r15__s1000.yaml,BattleCode,grok-code-fast-1,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__qwen-3-coder__r15__s1000.yaml,BattleCode,grok-code-fast-1,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__grok-code-fast-1__o3__r15__s1000.yaml,BattleCode,grok-code-fast-1,o3,15,1000,,,,,,,,,,
BattleCode__gemini-2.5-pro__glm-4.5__r15__s1000.yaml,BattleCode,gemini-2.5-pro,glm-4.5,15,1000,,,,,,,,,,
BattleCode__gemini-2.5-pro__gpt-5__r15__s1000.yaml,BattleCode,gemini-2.5-pro,gpt-5,15,1000,,,,,,,,,,
BattleCode__gemini-2.5-pro__gpt-5-mini__r15__s1000.yaml,BattleCode,gemini-2.5-pro,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__gemini-2.5-pro__qwen-3-coder__r15__s1000.yaml,BattleCode,gemini-2.5-pro,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__gemini-2.5-pro__o3__r15__s1000.yaml,BattleCode,gemini-2.5-pro,o3,15,1000,,,,,,,,,,
BattleCode__glm-4.5__gpt-5__r15__s1000.yaml,BattleCode,glm-4.5,gpt-5,15,1000,,,,,,,,,,
BattleCode__glm-4.5__gpt-5-mini__r15__s1000.yaml,BattleCode,glm-4.5,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__glm-4.5__qwen-3-coder__r15__s1000.yaml,BattleCode,glm-4.5,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__glm-4.5__o3__r15__s1000.yaml,BattleCode,glm-4.5,o3,15,1000,,,,,,,,,,
BattleCode__gpt-5__gpt-5-mini__r15__s1000.yaml,BattleCode,gpt-5,gpt-5-mini,15,1000,,,,,,,,,,
BattleCode__gpt-5__qwen-3-coder__r15__s1000.yaml,BattleCode,gpt-5,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__gpt-5__o3__r15__s1000.yaml,BattleCode,gpt-5,o3,15,1000,,,,,,,,,,
BattleCode__gpt-5-mini__qwen-3-coder__r15__s1000.yaml,BattleCode,gpt-5-mini,qwen-3-coder,15,1000,,,,,,,,,,
BattleCode__gpt-5-mini__o3__r15__s1000.yaml,BattleCode,gpt-5-mini,o3,15,1000,,,,,,,,,,
BattleCode__qwen-3-coder__o3__r15__s1000.yaml,BattleCode,qwen-3-coder,o3,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__claude-3-7-sonnet-20250219__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,claude-3-7-sonnet-20250219,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__grok-code-fast-1__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,grok-code-fast-1,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__gemini-2.5-pro__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__glm-4.5__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,glm-4.5,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__gpt-5__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,gpt-5,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__gpt-5-mini__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__qwen-3-coder__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__claude-opus-4-1-20250805__o3__r15__s1000.yaml,BattleSnake,claude-opus-4-1-20250805,o3,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__grok-code-fast-1__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,grok-code-fast-1,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__gemini-2.5-pro__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__glm-4.5__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,glm-4.5,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__gpt-5__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,gpt-5,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__gpt-5-mini__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__qwen-3-coder__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__claude-3-7-sonnet-20250219__o3__r15__s1000.yaml,BattleSnake,claude-3-7-sonnet-20250219,o3,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__gemini-2.5-pro__r15__s1000.yaml,BattleSnake,grok-code-fast-1,gemini-2.5-pro,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__glm-4.5__r15__s1000.yaml,BattleSnake,grok-code-fast-1,glm-4.5,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__gpt-5__r15__s1000.yaml,BattleSnake,grok-code-fast-1,gpt-5,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__gpt-5-mini__r15__s1000.yaml,BattleSnake,grok-code-fast-1,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__qwen-3-coder__r15__s1000.yaml,BattleSnake,grok-code-fast-1,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__grok-code-fast-1__o3__r15__s1000.yaml,BattleSnake,grok-code-fast-1,o3,15,1000,,,,,,,,,,
BattleSnake__gemini-2.5-pro__glm-4.5__r15__s1000.yaml,BattleSnake,gemini-2.5-pro,glm-4.5,15,1000,,,,,,,,,,
BattleSnake__gemini-2.5-pro__gpt-5__r15__s1000.yaml,BattleSnake,gemini-2.5-pro,gpt-5,15,1000,,,,,,,,,,
BattleSnake__gemini-2.5-pro__gpt-5-mini__r15__s1000.yaml,BattleSnake,gemini-2.5-pro,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__gemini-2.5-pro__qwen-3-coder__r15__s1000.yaml,BattleSnake,gemini-2.5-pro,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__gemini-2.5-pro__o3__r15__s1000.yaml,BattleSnake,gemini-2.5-pro,o3,15,1000,,,,,,,,,,
BattleSnake__glm-4.5__gpt-5__r15__s1000.yaml,BattleSnake,glm-4.5,gpt-5,15,1000,,,,,,,,,,
BattleSnake__glm-4.5__gpt-5-mini__r15__s1000.yaml,BattleSnake,glm-4.5,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__glm-4.5__qwen-3-coder__r15__s1000.yaml,BattleSnake,glm-4.5,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__glm-4.5__o3__r15__s1000.yaml,BattleSnake,glm-4.5,o3,15,1000,,,,,,,,,,
BattleSnake__gpt-5__gpt-5-mini__r15__s1000.yaml,BattleSnake,gpt-5,gpt-5-mini,15,1000,,,,,,,,,,
BattleSnake__gpt-5__qwen-3-coder__r15__s1000.yaml,BattleSnake,gpt-5,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__gpt-5__o3__r15__s1000.yaml,BattleSnake,gpt-5,o3,15,1000,,,,,,,,,,
BattleSnake__gpt-5-mini__qwen-3-coder__r15__s1000.yaml,BattleSnake,gpt-5-mini,qwen-3-coder,15,1000,,,,,,,,,,
BattleSnake__gpt-5-mini__o3__r15__s1000.yaml,BattleSnake,gpt-5-mini,o3,15,1000,,,,,,,,,,
BattleSnake__qwen-3-coder__o3__r15__s1000.yaml,BattleSnake,qwen-3-coder,o3,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__claude-3-7-sonnet-20250219__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,claude-3-7-sonnet-20250219,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__grok-code-fast-1__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,grok-code-fast-1,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__gemini-2.5-pro__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,gemini-2.5-pro,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__glm-4.5__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,glm-4.5,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__gpt-5__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,gpt-5,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__gpt-5-mini__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,gpt-5-mini,15,1000,,,,,,,,,,
CoreWar__claude-opus-4-1-20250805__qwen-3-coder__r15__s1000.yaml,CoreWar,claude-opus-4-1-20250805,qwen-3-coder,15,1000,,,,,,,,,,
